,Time,,,,,,,,,,,,,,,Total,,,Number of game,,,,
Date,6-7,7-8,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,,,,,,,,
2024-05-27,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
2024-05-28,Futsal training,MONTHLY,,,,,,,,,,0,1000,0,0,1000,,,1,,,,
2024-05-29,Futsal training,MONTHLY,,,,,,,,,,,,900,,900,,,1,,,,
2024-05-30,Futsal training,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-05-31,Futsal training,MONTHLY,,,,,,,,,1000,500,500,,,2000,,,2,,,,
2024-06-01,Futsal training,MONTHLY,,,,,,,750,,0,0,0,0,0,750,,,1,,,,
2024-06-02,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,0,,,,
2024-06-03,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,0,,,,
2024-06-04,Futsal training,MONTHLY,,,,,,,,,,0,0,1000,0,1000,,,1,,,,
2024-06-05,Futsal training,MONTHLY,,,,,,,,,,1000,1000,0,0,2000,,,2,,,,
2024-06-06,Futsal training,MONTHLY,,,,,,,,,,0,1000,0,0,1000,,,1,,,,
2024-06-07,Futsal training,MONTHLY,,,,,,,,,,0,1000,500,0,1500,,,1,,,,
2024-06-08,Futsal training,MONTHLY,,,,,,,,,,,1000,1000,0,2000,,,2,,,,
2024-06-09,Futsal training,MONTHLY,,,,,,,,,,1000,,1000,0,2000,,,2,,,,
2024-06-10,Futsal training,MONTHLY,,,,,,,,,,,650 gym(),,,650,,,1,,,,
2024-06-11,Futsal training,MONTHLY,,,,,,,,,,,500,,,500,,,1,,,,
2024-06-12,Futsal training,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-06-13,Futsal training,MONTHLY,,,,,,,,,,,,700,,700,,,1,,,,
2024-06-14,Futsal training,MONTHLY,,,,,,,,,,1000,500,,,1500,,,2,,,,
2024-06-15,Futsal training,MONTHLY,,,,,,,,,,FREE SLOT,1000,,,1000,28340,,2,,33,,
2024-06-16,Futsal training,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-06-17,Futsal training,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-06-18,Futsal training,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-06-19,Futsal training,MONTHLY,,,,,,,,,,,1200,,,1200,,,1,,,,
2024-06-20,Futsal training,MONTHLY,,,,,,,,,,,500,,,500,,,1,,,,
2024-06-21,Futsal training,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-06-22,Futsal training,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-06-23,Futsal training,MONTHLY,,,,,,,,,,,800,,,800,,,1,,,,
2024-06-24,Futsal training,MONTHLY,,,,,,,,,,,(LOST) 0,,,,,,1,,,,
2024-06-25,Futsal training,MONTHLY,,,,,,,,,,,1250,,,1250,,,1,,,,
2024-06-26,Futsal training,MONTHLY,,,,,,,,,,700,,,,700,,,1,,,,
2024-06-27,Futsal training,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-06-28,Futsal training,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-06-29,1000,MONTHLY,,,,,,,,,,,FREE GAME,,,1000,15000(PENDING 7300),,2,,,,
2024-06-30,Futsal training,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-07-01,,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-07-02,,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-07-03,,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-07-04,,MONTHLY,,,,,,,,,,,1600,,,1600,,,1,,,,
2024-07-05,,MONTHLY,,,,,,,,,,500,700,,,1300,,,2,,,,
2024-07-06,,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-07-07,,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-07-08,,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-07-09,,MONTHLY,,,,,,,,,,,,,,900,,,1,,,,
2024-07-10,,MONTHLY,,,,,,,,,,,,,,1000,,,1,,,,
2024-07-11,,MONTHLY,,,,,,,,,,,,,,,,,,,,,
2024-07-12,,MONTHLY,,,,,,,,,,,,,,1000,,,1,,,,
2024-07-13,,MONTHLY,,,,,,,,1000,,1000,1000,,,3000,,,3,,,,
2024-07-14,,MONTHLY,,,,,,,,950,,700,,,,1650,21900,,2,,,,
2024-07-15,,MONTHLY,,,,,,,,,,1000,1000,400,,2400,,,2,,,,
2024-07-16,,MONTHLY,,,,,,,,,,1000,1000,,,2000,,,2,,,,
2024-07-17,,MONTHLY,,,,,,,,,,1000,1000,,1000,3000,,,3,,,,32495
2024-07-18,,MONTHLY,,,,,,,,,,1000,1000+100,,1000,3100,,,3,,,,
2024-07-19,,MONTHLY,,,,,,,,,,,,500,,500,,,1,,,,
2024-07-20,,MONTHLY,,,,,,,,,Rain(),1000,900,800,,2700,,,4,,,,
2024-07-21,,MONTHLY,,,,,,,1000,,1000,1000,,1000,,4000,,,4,,,,
2024-07-22,,MONTHLY,,,,,,,,,,,1000,,,1000,,,1,,,,
2024-07-23,,MONTHLY,,,,,,,,,,1000,700,,,1700,,,2,,,,
2024-07-24,,MONTHLY,,,,,,,,,,,FREE GAME,500,,500,,,2,140980,,,
2024-07-25,,MONTHLY,,,,,,,,,,1000,1000,995,,2995,,,3,,,,
2024-07-26,,MONTHLY,,,,,,,,,,,500,,,500,,,1,,,,
2024-07-27,,MONTHLY,,1000,,,,1000,800(Ex student),,,800(ex student),1000,,,3600,,,5,,,,
2024-07-28,,MONTHLY,,,,,,,,,,1000,1000,,,2000,,,2,,,,
2024-07-29,,MONTHLY,,,,,,,,,,1000,(500)   morning team pending,1000,,2000,,,3,,,,
2024-07-30,,MONTHLY,,,,,,,,,,,800,,,800,,,1,,,,
2024-07-31,,MONTHLY,,,,,,,,,,1000,FREE GAME,,1100,2100,,,3,155475,32495,,
2024-08-01,,MONTHLY,,,,,,,,,,swornim team pending 1000,0 home loss,,,,,,2,,,,
2024-08-02,,MONTHLY,,,,,,,,,,1000,1000,,,2000,,,2,,,,
2024-08-03,,MONTHLY,1000,1000,,,,300,1000,1000,1000,1000,,1000,400,7700,,,8,,,,
2024-08-04,,MONTHLY,,,,,,,,,,,,,,,,,2,,,,
